venta_id	producto_id	cantidad
1	1	27
1	2	19
1	3	16
1	4	21
1	5	16
1	6	18
1	7	3
1	8	1
1	9	39
1	10	29
1	11	28
1	12	11
1	13	13
1	14	31
1	15	37
1	16	11
1	17	25
1	18	12
1	19	24
1	20	2
1	21	21
1	22	18
1	23	26
1	24	35
1	25	14
1	26	10
1	27	9
1	28	15
1	29	5
1	30	23
1	31	17
1	32	18
1	33	0
1	34	26
1	35	9
1	36	8
1	37	15
1	38	8
1	39	37
1	40	38
1	41	39
1	42	1
1	43	12
1	44	15
1	45	1
1	46	40
1	47	33
1	48	4
1	49	6
1	50	19
1	51	37
1	52	5
1	53	35
1	54	39
1	55	8
1	56	5
1	57	0
1	58	29
1	59	21
1	60	20
1	61	36
1	62	38
1	63	0
1	64	10
1	65	11
1	66	26
1	67	15
1	68	37
1	69	20
1	70	31
1	71	12
1	72	9
1	73	10
1	74	22
1	75	1
1	76	20
1	77	16
1	78	20
1	79	11
1	80	35
1	81	21
1	82	40
1	83	16
1	84	1
1	85	39
1	86	28
1	87	23
1	88	31
1	89	6
1	90	18
1	91	30
1	92	17
1	93	38
1	94	13
1	95	35
1	96	14
1	97	5
1	98	27
1	99	35
1	100	16
1	101	15
1	102	27
1	103	9
1	104	4
1	105	34
1	106	35
1	107	34
1	108	24
1	109	18
1	110	21
1	111	7
1	112	16
1	113	19
1	114	4
1	115	7
1	116	22
1	117	8
1	118	16
1	119	15
1	120	30
1	121	20
1	122	11
1	123	36
1	124	25
1	125	20
1	126	22
1	127	11
1	128	32
1	129	5
1	130	12
1	131	4
1	132	27
1	133	39
1	134	32
1	135	5
1	136	9
1	137	31
1	138	6
1	139	19
1	140	39
1	141	12
1	142	28
1	143	23
1	144	31
1	145	2
1	146	2
1	147	2
1	148	4
1	149	18
1	150	34
1	151	38
1	152	5
1	153	33
1	154	29
1	155	5
1	156	22
1	157	14
1	158	5
1	159	24
1	160	22
1	161	37
1	162	0
1	163	12
1	164	19
1	165	19
1	166	40
1	167	19
1	168	15
1	169	21
1	170	18
1	171	30
1	172	12
1	173	14
1	174	32
1	175	36
1	176	5
2	1	47
2	2	15
2	3	38
2	4	40
2	5	37
2	6	15
2	7	16
2	8	35
2	9	27
2	10	31
2	11	24
2	12	24
2	13	0
2	14	30
2	15	50
2	16	7
2	17	37
2	18	10
2	19	44
2	20	37
2	21	4
2	22	8
2	23	32
2	24	32
2	25	14
2	26	24
2	27	30
2	28	27
2	29	44
2	30	36
2	31	0
2	32	45
2	33	22
2	34	26
2	35	13
2	36	40
2	37	7
2	38	18
2	39	18
2	40	37
2	41	30
2	42	38
2	43	48
2	44	27
2	45	44
2	46	35
2	47	46
2	48	21
2	49	20
2	50	39
2	51	32
2	52	45
2	53	29
2	54	7
2	55	1
2	56	37
2	57	26
2	58	22
2	59	34
2	60	50
2	61	49
2	62	42
2	63	13
2	64	41
2	65	13
2	66	47
2	67	42
2	68	19
2	69	21
2	70	50
2	71	33
2	72	15
2	73	28
2	74	45
2	75	39
2	76	8
2	77	25
2	78	0
2	79	28
2	80	38
2	81	6
2	82	18
2	83	23
2	84	9
2	85	27
2	86	8
2	87	10
2	88	27
2	89	2
2	90	32
2	91	0
2	92	6
2	93	31
2	94	36
2	95	38
2	96	29
2	97	34
2	98	31
2	99	3
2	100	24
2	101	10
2	102	30
2	103	20
2	104	7
2	105	29
2	106	24
2	107	30
2	108	29
2	109	2
2	110	29
2	111	36
2	112	41
2	113	46
2	114	8
2	115	4
2	116	46
2	117	17
2	118	48
2	119	36
2	120	38
2	121	33
2	122	48
2	123	42
2	124	15
2	125	1
2	126	10
2	127	47
2	128	3
2	129	27
2	130	27
2	131	0
2	132	23
2	133	14
2	134	2
2	135	21
2	136	45
2	137	13
2	138	31
2	139	14
2	140	27
2	141	44
2	142	39
2	143	9
2	144	34
2	145	39
2	146	44
2	147	2
2	148	29
2	149	40
2	150	11
2	151	38
2	152	2
2	153	1
2	154	48
2	155	34
2	156	28
2	157	36
2	158	49
2	159	33
2	160	21
2	161	4
2	162	9
2	163	34
2	164	42
2	165	7
2	166	11
2	167	33
2	168	32
2	169	10
2	170	4
2	171	42
2	172	44
2	173	46
2	174	48
2	175	1
2	176	16
3	1	23
3	2	17
3	3	17
3	4	35
3	5	24
3	6	13
3	7	44
3	8	28
3	9	8
3	10	10
3	11	24
3	12	43
3	13	38
3	14	13
3	15	1
3	16	16
3	17	29
3	18	45
3	19	35
3	20	41
3	21	0
3	22	30
3	23	49
3	24	4
3	25	26
3	26	15
3	27	49
3	28	49
3	29	48
3	30	42
3	31	15
3	32	0
3	33	8
3	34	39
3	35	17
3	36	22
3	37	9
3	38	29
3	39	17
3	40	49
3	41	41
3	42	10
3	43	27
3	44	5
3	45	47
3	46	15
3	47	36
3	48	35
3	49	18
3	50	35
3	51	20
3	52	45
3	53	12
3	54	28
3	55	3
3	56	35
3	57	11
3	58	4
3	59	38
3	60	25
3	61	10
3	62	27
3	63	5
3	64	45
3	65	7
3	66	3
3	67	47
3	68	21
3	69	16
3	70	19
3	71	45
3	72	15
3	73	46
3	74	29
3	75	7
3	76	1
3	77	33
3	78	12
3	79	14
3	80	32
3	81	17
3	82	43
3	83	9
3	84	19
3	85	17
3	86	30
3	87	47
3	88	45
3	89	35
3	90	38
3	91	34
3	92	5
3	93	29
3	94	25
3	95	38
3	96	14
3	97	9
3	98	2
3	99	36
3	100	21
3	101	50
3	102	34
3	103	21
3	104	3
3	105	3
3	106	8
3	107	29
3	108	19
3	109	11
3	110	47
3	111	1
3	112	15
3	113	25
3	114	26
3	115	6
3	116	2
3	117	43
3	118	8
3	119	12
3	120	38
3	121	1
3	122	43
3	123	8
3	124	16
3	125	5
3	126	30
3	127	32
3	128	18
3	129	46
3	130	23
3	131	29
3	132	27
3	133	49
3	134	11
3	135	11
3	136	20
3	137	19
3	138	35
3	139	18
3	140	33
3	141	12
3	142	11
3	143	20
3	144	18
3	145	30
3	146	45
3	147	33
3	148	29
3	149	48
3	150	1
3	151	15
3	152	22
3	153	12
3	154	48
3	155	48
3	156	49
3	157	0
3	158	6
3	159	31
3	160	35
3	161	32
3	162	4
3	163	25
3	164	13
3	165	40
3	166	7
3	167	21
3	168	31
3	169	43
3	170	22
3	171	29
3	172	31
3	173	19
3	174	50
3	175	42
3	176	11
4	1	39
4	2	23
4	3	37
4	4	58
4	5	16
4	6	49
4	7	36
4	8	22
4	9	43
4	10	36
4	11	44
4	12	50
4	13	58
4	14	29
4	15	10
4	16	57
4	17	42
4	18	30
4	19	14
4	20	19
4	21	47
4	22	14
4	23	22
4	24	60
4	25	21
4	26	16
4	27	59
4	28	33
4	29	29
4	30	38
4	31	43
4	32	38
4	33	53
4	34	38
4	35	21
4	36	34
4	37	46
4	38	17
4	39	41
4	40	43
4	41	29
4	42	59
4	43	44
4	44	35
4	45	33
4	46	50
4	47	40
4	48	42
4	49	27
4	50	51
4	51	10
4	52	43
4	53	20
